|81.090600,0.000000,-274.038000|0.000000,1.000000,0.000000,0.000000|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/Flashbang_Prop|-0.012286,0.117884,-0.006521|-0.193058,-0.669634,0.703061,-0.141507|21.738040,21.738040,21.738040
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal|0.000000,0.140000,-0.066000|-0.107096,0.012581,0.115989,0.987380|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate|0.000000,0.043151,0.000000|0.088181,-0.018356,-0.028516,0.995527|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate/RightIndexDistal|0.000000,0.028461,0.000000|0.072622,-0.008453,-0.060520,0.995486|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal|0.027000,0.128000,0.028000|0.011613,-0.000539,0.046346,0.998858|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate|0.000000,0.043197,0.000000|-0.011048,0.003619,0.221965,0.974985|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate/RightLittleDistal|0.000000,0.034986,0.000000|-0.065277,0.035646,-0.040481,0.996408|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal|0.012000,0.139000,-0.035000|-0.047445,0.001124,0.023656,0.998593|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate|0.000000,0.042237,0.000000|0.046897,-0.007279,0.106295,0.993202|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate/RightMiddleDistal|0.000000,0.031048,0.000000|0.070288,-0.009211,-0.129606,0.989028|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal|0.019000,0.132000,-0.005000|-0.077009,-0.003375,-0.043659,0.996068|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate|0.000000,0.045717,0.000000|0.109267,-0.014459,0.216093,0.970132|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate/RightRingDistal|0.000000,0.032016,0.000000|0.009743,-0.002604,-0.089462,0.995939|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal|-0.027000,0.065000,-0.047000|-0.226314,0.669912,-0.007194,0.707070|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate|0.000000,0.054598,0.000000|0.118394,0.028816,0.096335,0.987862|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate/RightThumbDistal|0.000000,0.042532,0.000000|0.035557,0.002521,0.070667,0.996863|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/neck|0.000197,0.091383,-0.007121|-0.046218,-0.021819,-0.009192,0.998651|1.000000,1.000000,1.000000
Armature/Hips/Spine02/Spine01/Spine/neck/Head|0.000000,0.068090,0.000000|0.471857,-0.029963,0.021115,0.880913|1.000000,0.999999,1.000000
Armature/Hips/Spine02/Spine01/Spine/neck/Head/head_end|-0.002124,0.239807,-0.139299|-0.263911,-0.000234,0.003771,0.964540|1.000000,0.999999,1.000000
Armature/Hips/Spine02/Spine01/Spine/neck/Head/headfront|0.002124,0.211236,0.139299|0.287375,0.000000,-0.004382,0.957808|1.000000,1.000000,1.000000
char1|0.000000,0.000000,0.000000|0.000000,0.000000,0.000000,1.000000|1.000000,1.000000,1.000000
carry={"MonoBehaviour":{"m_Enabled":true,"m_EditorHideFlags":0,"m_Name":"","m_EditorClassIdentifier":"Assembly-CSharp::Bellerophon.PlayerAnimation.FlashbangThrowReleaseFlightBehaviour","mode":0,"animator":{"instanceID":0},"rightHand":{"instanceID":0},"flashbang":{"instanceID":0},"heldLocalPosition":{"x":-0.012286425568163395,"y":0.1178838461637497,"z":-0.00652138888835907},"heldLocalRotation":{"x":-0.19305811822414399,"y":-0.6696343421936035,"z":0.703060507774353,"w":-0.14150729775428773},"heldLocalScale":{"x":21.738035202026368,"y":21.738035202026368,"z":21.738035202026368},"sourceRightArmPose":[{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder","localRotation":{"x":0.6033905148506165,"y":0.4344770908355713,"z":-0.524396538734436,"w":0.41491925716400149}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm","localRotation":{"x":0.15335391461849214,"y":0.5787383913993836,"z":0.3635549545288086,"w":0.7137032151222229}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm","localRotation":{"x":-0.06143979728221893,"y":0.053165502846241,"z":0.07655692100524903,"w":0.9937492609024048}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand","localRotation":{"x":0.08126135170459748,"y":0.11606817692518234,"z":0.23772071301937104,"w":0.9609441757202148}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal","localRotation":{"x":-0.10709605365991593,"y":0.012580763548612595,"z":0.11598903685808182,"w":0.9873797297477722}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate","localRotation":{"x":0.0881805419921875,"y":-0.018356185406446458,"z":-0.028515735641121866,"w":0.9955270886421204}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate/RightIndexDistal","localRotation":{"x":0.07262230664491654,"y":-0.008453312329947949,"z":-0.06052016466856003,"w":0.9954857230186462}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal","localRotation":{"x":0.011613093316555024,"y":-0.0005388419958762825,"z":0.04634598642587662,"w":0.9988577961921692}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate","localRotation":{"x":-0.011048100888729096,"y":0.0036193456035107376,"z":0.2219645380973816,"w":0.9749854207038879}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate/RightLittleDistal","localRotation":{"x":-0.0652773454785347,"y":0.03564557805657387,"z":-0.040480539202690127,"w":0.9964083433151245}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal","localRotation":{"x":-0.04744479060173035,"y":0.0011239039013162256,"z":0.023655636236071588,"w":0.9985930919647217}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate","localRotation":{"x":0.046896692365407947,"y":-0.007279006764292717,"z":0.10629459470510483,"w":0.993201494216919}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate/RightMiddleDistal","localRotation":{"x":0.07028798013925553,"y":-0.00921082403510809,"z":-0.1296054869890213,"w":0.9890283942222595}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal","localRotation":{"x":-0.0770089402794838,"y":-0.0033754552714526655,"z":-0.043659355491399768,"w":0.9960683584213257}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate","localRotation":{"x":0.10926661640405655,"y":-0.014458621852099896,"z":0.2160930633544922,"w":0.9701317548751831}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate/RightRingDistal","localRotation":{"x":0.009743361733853817,"y":-0.0026039076037704946,"z":-0.0894617810845375,"w":0.9959391951560974}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal","localRotation":{"x":-0.22631436586380006,"y":0.669911801815033,"z":-0.007194117642939091,"w":0.7070701718330383}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate","localRotation":{"x":0.11839394271373749,"y":0.028816383332014085,"z":0.0963350236415863,"w":0.9878624081611633}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate/RightThumbDistal","localRotation":{"x":0.03555699810385704,"y":0.002520575188100338,"z":0.07066667824983597,"w":0.9968628883361816}}],"authoredRightArmPose":[{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder","localRotation":{"x":0.6641891002655029,"y":0.48291799426078799,"z":-0.4448888599872589,"w":0.3573751449584961}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm","localRotation":{"x":0.3452765643596649,"y":0.013756882399320603,"z":0.19098348915576936,"w":0.9187600612640381}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm","localRotation":{"x":-0.01192778442054987,"y":-0.47783443331718447,"z":0.0974372997879982,"w":0.8729478716850281}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand","localRotation":{"x":-0.022810501977801324,"y":0.12191340327262879,"z":0.004161901772022247,"w":0.9922698736190796}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal","localRotation":{"x":-0.10709605365991593,"y":0.012580763548612595,"z":0.11598903685808182,"w":0.9873797297477722}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate","localRotation":{"x":0.0881805419921875,"y":-0.018356185406446458,"z":-0.028515735641121866,"w":0.9955270886421204}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightIndexProximal/RightIndexIntermediate/RightIndexDistal","localRotation":{"x":0.07262230664491654,"y":-0.008453312329947949,"z":-0.06052016466856003,"w":0.9954857230186462}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal","localRotation":{"x":0.011613093316555024,"y":-0.0005388419958762825,"z":0.04634598642587662,"w":0.9988577961921692}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate","localRotation":{"x":-0.011048100888729096,"y":0.0036193456035107376,"z":0.2219645380973816,"w":0.9749854207038879}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightLittleProximal/RightLittleIntermediate/RightLittleDistal","localRotation":{"x":-0.0652773454785347,"y":0.03564557805657387,"z":-0.040480539202690127,"w":0.9964083433151245}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal","localRotation":{"x":-0.04744479060173035,"y":0.0011239039013162256,"z":0.023655636236071588,"w":0.9985930919647217}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate","localRotation":{"x":0.046896692365407947,"y":-0.007279006764292717,"z":0.10629459470510483,"w":0.993201494216919}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightMiddleProximal/RightMiddleIntermediate/RightMiddleDistal","localRotation":{"x":0.07028798013925553,"y":-0.00921082403510809,"z":-0.1296054869890213,"w":0.9890283942222595}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal","localRotation":{"x":-0.0770089402794838,"y":-0.0033754552714526655,"z":-0.043659355491399768,"w":0.9960683584213257}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate","localRotation":{"x":0.10926661640405655,"y":-0.014458621852099896,"z":0.2160930633544922,"w":0.9701317548751831}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightRingProximal/RightRingIntermediate/RightRingDistal","localRotation":{"x":0.009743361733853817,"y":-0.0026039076037704946,"z":-0.0894617810845375,"w":0.9959391951560974}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal","localRotation":{"x":-0.22631436586380006,"y":0.669911801815033,"z":-0.007194117642939091,"w":0.7070701718330383}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate","localRotation":{"x":0.11839394271373749,"y":0.028816383332014085,"z":0.0963350236415863,"w":0.9878624081611633}},{"path":"Armature/Hips/Spine02/Spine01/Spine/RightShoulder/RightArm/RightForeArm/RightHand/RightThumbProximal/RightThumbIntermediate/RightThumbDistal","localRotation":{"x":0.03555699810385704,"y":0.002520575188100338,"z":0.07066667824983597,"w":0.9968628883361816}}],"clipLength":0.0,"releaseTime":0.0,"launchVelocityInTransporterSpace":{"x":0.0,"y":0.0,"z":0.0},"spinRadiansPerSecond":0.0,"modelFlightAxis":{"x":0.0,"y":0.0,"z":1.0},"colliderCenter":{"x":0.0,"y":0.0,"z":0.0},"colliderSize":{"x":1.0,"y":1.0,"z":1.0}}}
